rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,3.07,0.27,93.09
2,Spain,UEFA,3.53,0.51,92.53
3,Belgium,UEFA,3.02,0.55,88.64
4,France,UEFA,2.82,0.5,87.71
5,Germany,UEFA,2.94,0.57,87.59
6,Argentina,CONMEBOL,2.55,0.47,85.75
7,Portugal,UEFA,2.48,0.55,83.42
8,England,UEFA,2.38,0.49,83.4
9,Netherlands,UEFA,2.59,0.66,82.49
10,Colombia,CONMEBOL,2.23,0.49,81.65
11,Uruguay,CONMEBOL,2.31,0.58,80.73
12,Croatia,UEFA,2.41,0.66,80.41
13,Switzerland,UEFA,2.41,0.67,80.18
14,Italy,UEFA,2.1,0.52,79.3
15,Chile,CONMEBOL,2.22,0.69,77.04
16,Serbia,UEFA,2.11,0.66,76.25
17,Ukraine,UEFA,1.98,0.64,74.7
18,Sweden,UEFA,1.98,0.67,73.88
19,Nigeria,CAF,2.01,0.7,73.61
20,Peru,CONMEBOL,1.93,0.66,73.43
21,Japan,AFC,2.2,0.85,73.35
22,Mexico,CONCACAF,2.08,0.77,73.08
23,Denmark,UEFA,1.86,0.67,72.06
24,Austria,UEFA,1.91,0.7,72.01
25,Russia,UEFA,1.99,0.78,71.61
26,Morocco,CAF,1.88,0.72,70.98
27,Ghana,CAF,1.78,0.67,70.62
28,Ecuador,CONMEBOL,2.02,0.85,70.49
29,USA,CONCACAF,1.97,0.83,69.86
30,Bosnia and Herzegovina,UEFA,1.94,0.84,69.29
31,Poland,UEFA,1.97,0.87,69.16
32,Paraguay,CONMEBOL,1.87,0.8,68.83
33,Iran,AFC,1.63,0.63,68.53
34,Senegal,CAF,1.74,0.73,68.09
35,Wales,UEFA,1.77,0.77,67.78
36,Czech Republic,UEFA,1.91,0.92,66.91
37,Venezuela,CONMEBOL,1.8,0.86,66.08
38,Ivory Coast,CAF,1.61,0.71,66.0
39,Turkey,UEFA,1.86,0.92,65.94
40,Slovakia,UEFA,1.8,0.91,64.93
41,Norway,UEFA,1.68,0.82,64.92
42,Australia,AFC,1.83,0.94,64.85
43,Algeria,CAF,1.91,1.01,64.74
44,Iceland,UEFA,1.86,1.0,64.15
45,Egypt,CAF,1.8,0.96,63.76
46,Costa Rica,CONCACAF,1.7,0.88,63.57
47,South Korea,AFC,1.69,0.89,63.41
48,Tunisia,CAF,1.77,0.99,62.63
49,Scotland,UEFA,1.66,0.99,60.3
50,Rep of Ireland,UEFA,1.5,0.86,60.1
51,Romania,UEFA,1.49,0.86,60.0
52,Greece,UEFA,1.37,0.75,59.77
53,Cameroon,CAF,1.49,0.87,59.56
54,South Africa,CAF,1.53,0.93,58.87
55,Mali,CAF,1.37,0.81,58.51
56,Finland,UEFA,1.55,0.99,58.02
57,Bolivia,CONMEBOL,1.66,1.15,56.81
58,Montenegro,UEFA,1.52,1.03,56.46
59,Northern Ireland,UEFA,1.35,0.87,56.4
60,Slovenia,UEFA,1.4,0.93,56.03
61,Congo DR,CAF,1.57,1.12,55.5
62,Uzbekistan,AFC,1.28,0.84,55.34
63,Georgia,UEFA,1.48,1.05,55.01
64,Canada,CONCACAF,1.52,1.1,54.79
65,Zambia,CAF,1.4,0.99,54.5
66,Burkina Faso,CAF,1.41,1.01,54.38
67,Honduras,CONCACAF,1.57,1.2,53.55
68,Guinea,CAF,1.55,1.18,53.54
69,Hungary,UEFA,1.53,1.2,52.62
70,Israel,UEFA,1.47,1.19,51.47
71,Panama,CONCACAF,1.39,1.12,51.26
72,China PR,AFC,1.23,0.97,51.01
73,Haiti,CONCACAF,1.48,1.24,50.75
74,Saudi Arabia,AFC,1.43,1.19,50.62
75,Iraq,AFC,1.3,1.07,50.36
76,Belarus,UEFA,1.29,1.08,50.06
77,Angola,CAF,1.2,0.98,50.05
78,Zimbabwe,CAF,1.52,1.32,49.91
79,Bulgaria,UEFA,1.32,1.13,49.5
80,Syria,AFC,1.49,1.3,49.46
81,FYR Macedonia,UEFA,1.31,1.14,49.01
82,Tanzania,CAF,1.45,1.32,48.16
83,Kenya,CAF,1.18,1.04,48.06
84,Qatar,AFC,1.54,1.43,47.8
85,Albania,UEFA,1.22,1.11,47.45
86,Guatemala,CONCACAF,1.44,1.35,47.41
87,Uganda,CAF,1.04,0.93,47.18
88,Jamaica,CONCACAF,1.4,1.32,47.02
89,Gabon,CAF,1.08,0.98,46.87
90,Jordan,AFC,0.87,0.76,46.85
91,Cape Verde Islands,CAF,1.23,1.17,46.4
92,Kosovo,UEFA,1.28,1.27,45.56
93,Libya,CAF,1.21,1.19,45.44
94,New Zealand,OFC,1.28,1.29,44.99
95,Armenia,UEFA,1.45,1.49,44.77
96,Congo,CAF,1.4,1.47,44.03
97,Togo,CAF,1.14,1.19,43.82
98,Cyprus,UEFA,1.18,1.3,42.41
99,Benin,CAF,1.19,1.32,42.21
100,Curacao,CONCACAF,1.34,1.48,42.18
101,Madagascar,CAF,1.17,1.31,41.82
102,Burundi,CAF,0.88,0.98,41.59
103,North Korea,AFC,1.05,1.18,41.53
104,Oman,AFC,0.75,0.84,41.16
105,United Arab Emirates,AFC,0.82,0.95,40.39
106,Namibia,CAF,0.7,0.81,40.29
107,Trinidad and Tobago,CONCACAF,1.26,1.49,40.25
108,El Salvador,CONCACAF,1.19,1.43,39.99
109,Estonia,UEFA,1.01,1.23,39.34
110,Botswana,CAF,0.84,1.04,39.2
111,Kazakhstan,UEFA,1.2,1.52,38.46
112,Cuba,CONCACAF,0.85,1.11,37.76
113,Dominican Republic,CONCACAF,1.26,1.65,37.28
114,Moldova,UEFA,0.96,1.32,36.39
115,Malawi,CAF,0.56,0.8,36.05
116,Liberia,CAF,1.26,1.73,35.64
117,Mauritania,CAF,1.12,1.56,35.6
118,Equatorial Guinea,CAF,0.93,1.33,35.43
119,Guinea-Bissau,CAF,1.13,1.6,35.11
